Country,Region,Year,Water Source Type,"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people",Healthcare Access Index (0-100),Urbanization Rate (%)
USA,West,2018,Lake,256,3,90.02,51.51
Mexico,East,2017,Pond,476,7,2.96,50.32
USA,North,2023,Pond,247,22,28.27,19.84
Mexico,North,2017,Pond,70,35,5.24,81.6
USA,West,2024,Well,89,15,68.61,81.79
USA,Central,2019,River,150,30,36.03,39.38
USA,South,2014,Tap,158,42,40.96,73.82
USA,West,2024,Well,50,11,80.92,78.26
USA,Central,2014,Well,175,35,56.46,25.3
USA,East,2020,Spring,171,14,98.71,82.93
Mexico,East,2021,Tap,492,34,36.88,19.76
Mexico,East,2018,Spring,307,10,16.9,49.33
USA,South,2016,Spring,98,12,39.5,21.63
USA,South,2021,Lake,291,21,18.15,73.44
Mexico,West,2015,Lake,15,2,12.9,89.53
USA,North,2024,Well,146,46,93.18,65.79
USA,Central,2021,Lake,118,9,48.49,57.48
Mexico,North,2015,Lake,340,18,38.66,58.7
USA,East,2024,Spring,493,48,68.35,23.4
USA,East,2021,Spring,69,4,91.81,21.17
Mexico,West,2020,Lake,437,19,17.6,23.74
Mexico,East,2019,Tap,297,25,63.05,47.01
USA,East,2022,Lake,246,14,60.39,76.85
Mexico,East,2021,Spring,408,27,51.94,62.79
Mexico,South,2021,Well,241,40,85.8,28.62
Mexico,South,2020,River,170,36,59.74,21.83
Mexico,North,2015,Well,492,1,29.14,64.53
USA,West,2023,Well,366,20,91.57,79.08
Mexico,Central,2023,Spring,59,0,67.67,72.11
Mexico,South,2024,Tap,410,0,53.12,55.35
Mexico,South,2019,Lake,110,4,12.82,33.41
USA,East,2016,Lake,316,1,39.04,29.37
Mexico,North,2016,Well,183,34,38.65,52.7
USA,South,2024,Well,91,45,89.89,72.06
USA,East,2023,Tap,386,23,75.99,71.26
Mexico,Central,2024,Spring,364,0,51.32,85.41
USA,Central,2017,River,117,9,69.47,11.35
Mexico,North,2017,Spring,310,8,7.8,40.89
Mexico,West,2014,River,201,36,4.97,62.86
USA,South,2017,Spring,29,22,96.0,50.15
USA,South,2019,Tap,412,36,0.95,84.45
USA,South,2019,Spring,341,42,99.03,50.32
USA,East,2017,Lake,87,1,60.83,29.76
