Country,Region,Year,Water Source Type,Lead Concentration (µg/L),Lead Risk,Access to Clean Water (% of Population),Healthcare Access Index (0-100),Urbanization Rate (%)
India,South,2024,River,13.73,Low Risk,38.04,1.83,16.55
Bangladesh,West,2024,Lake,7.05,Low Risk,90.36,13.58,38.07
China,South,2024,Spring,10.55,Low Risk,62.95,24.46,53.71
Brazil,East,2024,Pond,15.44,High Risk,59.97,1.56,42.55
Pakistan,Central,2024,Spring,12.42,Low Risk,72.34,35.57,21.34
Pakistan,North,2024,Well,15.13,High Risk,98.69,81.74,78.83
Mexico,Central,2024,Well,7.07,Low Risk,88.08,95.42,82.17
Indonesia,South,2024,River,13.72,Low Risk,79.27,36.55,25.42
Pakistan,Central,2024,Pond,16.56,High Risk,88.97,76.31,83.07
Ethiopia,East,2024,Spring,18.73,High Risk,59.36,75.88,59.05
Pakistan,South,2024,Pond,0.6,Low Risk,97.55,58.78,73.01
Nigeria,West,2024,Tap,7.58,Low Risk,42.3,47.97,40.21
China,Central,2024,Pond,8.94,Low Risk,56.52,59.16,11.23
Ethiopia,South,2024,Pond,7.03,Low Risk,76.87,70.24,82.55
Pakistan,Central,2024,Tap,19.09,High Risk,78.21,93.0,86.27
Ethiopia,North,2024,Spring,18.43,High Risk,89.76,17.84,41.92
USA,North,2024,Well,3.5,Low Risk,77.56,51.37,78.47
Nigeria,East,2024,Tap,19.59,High Risk,83.93,82.11,66.64
China,East,2024,Spring,18.95,High Risk,74.44,12.26,27.31
Mexico,West,2024,Tap,14.81,Low Risk,49.67,33.95,61.08
Nigeria,West,2024,Well,5.24,Low Risk,52.68,32.4,20.12
USA,West,2024,Pond,16.67,High Risk,67.24,63.03,23.57
Bangladesh,West,2024,Tap,0.75,Low Risk,80.24,28.23,57.73
Pakistan,Central,2024,Lake,2.26,Low Risk,50.95,14.32,32.31
Pakistan,Central,2024,Well,6.53,Low Risk,90.97,36.13,68.56
China,North,2024,Tap,17.88,High Risk,91.81,8.24,29.69
China,North,2024,River,16.62,High Risk,69.0,18.35,89.65
USA,West,2024,Well,11.86,Low Risk,75.8,68.61,81.79
Indonesia,Central,2024,Tap,0.98,Low Risk,99.17,25.48,21.7
USA,West,2024,Well,2.69,Low Risk,41.36,80.92,78.26
Ethiopia,South,2024,Lake,11.76,Low Risk,85.37,69.1,81.62
Nigeria,West,2024,Lake,14.1,Low Risk,92.1,42.43,46.36
Indonesia,South,2024,Spring,7.96,Low Risk,40.4,73.09,81.35
Bangladesh,North,2024,Spring,18.87,High Risk,95.18,55.85,65.94
USA,North,2024,Well,1.6,Low Risk,73.23,93.18,65.79
China,Central,2024,Lake,18.22,High Risk,71.39,17.77,57.48
Brazil,East,2024,River,5.88,Low Risk,91.24,35.34,19.31
Ethiopia,West,2024,Spring,9.57,Low Risk,98.78,25.01,30.36
USA,East,2024,Spring,13.51,Low Risk,50.55,68.35,23.4
Pakistan,North,2024,Well,16.59,High Risk,30.24,44.43,66.1
Ethiopia,West,2024,Spring,13.31,Low Risk,85.95,53.15,57.27
China,North,2024,River,10.33,Low Risk,94.02,60.97,17.35
Nigeria,East,2024,Spring,3.31,Low Risk,95.4,46.95,28.14
Ethiopia,South,2024,Spring,3.89,Low Risk,75.84,91.11,33.75
China,North,2024,Tap,6.71,Low Risk,93.47,12.24,39.66
Nigeria,West,2024,Lake,17.01,High Risk,48.06,15.61,75.42
Brazil,South,2024,River,8.16,Low Risk,95.78,99.74,19.02
Mexico,South,2024,Tap,16.57,High Risk,54.55,53.12,55.35
Indonesia,North,2024,Spring,0.95,Low Risk,35.51,72.15,40.9
USA,South,2024,Well,12.98,Low Risk,99.88,89.89,72.06
Indonesia,East,2024,Well,11.84,Low Risk,60.78,87.19,30.09
Mexico,Central,2024,Spring,11.0,Low Risk,94.92,51.32,85.41
China,North,2024,Lake,19.57,High Risk,44.75,38.77,56.95
